publishingorgkey	publishername	publisherurl	total_records	records_with_recordedbyid	pct_with_recordedbyid	records_with_valid_recordedbyid	pct_valid_recordedbyid	records_with_invalid_recordedbyid	pct_invalid_recordedbyid	records_with_orcid	pct_with_orcid	records_with_google_scholar	pct_with_google_scholar	records_with_researcherid	pct_with_researcherid	records_with_wikidata	pct_with_wikidata	records_with_linkedin	pct_with_linkedin
89736335-7c56-4efc-97a2-7c109bfece23	BoL-UY	https://www.gbif.org/publisher/89736335-7c56-4efc-97a2-7c109bfece23	70	70	100.00000000000000	70	100.00000000000000	0	0.00000000000000	70	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
623a4940-3a7f-439f-a75f-e5a192a1e745	Blåst Spel AS	https://www.gbif.org/publisher/623a4940-3a7f-439f-a75f-e5a192a1e745	6414	6414	100.00000000000000	0	0.00000000000000	6414	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	https://www.gbif.org/publisher/2c39be5c-c11e-46d0-bcb4-552f2072d19f	32	32	100.00000000000000	32	100.00000000000000	0	0.00000000000000	32	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
12c0def5-b2ed-4281-a351-fc9ed4cd0c2b	Centro de Investigaciones en Toxicología Ambiental y Agrobiotecnología del Comahue	https://www.gbif.org/publisher/12c0def5-b2ed-4281-a351-fc9ed4cd0c2b	823	823	100.00000000000000	823	100.00000000000000	0	0.00000000000000	823	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
a1bbcff7-87db-416a-a4c6-fe279f82c2b9	Queensland State Government	https://www.gbif.org/publisher/a1bbcff7-87db-416a-a4c6-fe279f82c2b9	6	6	100.00000000000000	0	0.00000000000000	6	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
9376c2d9-afa0-4894-b447-f893a90c4eeb	7WEAVES Research	https://www.gbif.org/publisher/9376c2d9-afa0-4894-b447-f893a90c4eeb	333	333	100.00000000000000	331	99.39939939939940	2	0.60060060060060	331	99.39939939939940	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
4ef28342-2d78-48b5-a00f-2bad53be38a1	Fundación Universitaria de San Gil	https://www.gbif.org/publisher/4ef28342-2d78-48b5-a00f-2bad53be38a1	1720	1720	100.00000000000000	1720	100.00000000000000	0	0.00000000000000	1720	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
59eba871-04d8-4e51-aa70-d879d5f289ad	Fundación ProAves de Colombia	https://www.gbif.org/publisher/59eba871-04d8-4e51-aa70-d879d5f289ad	917	917	100.00000000000000	917	100.00000000000000	0	0.00000000000000	917	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
94a9e7ba-07e3-4d56-8872-5b81a252b0d3	BIONESIA	https://www.gbif.org/publisher/94a9e7ba-07e3-4d56-8872-5b81a252b0d3	2063	2063	100.00000000000000	2063	100.00000000000000	0	0.00000000000000	2063	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
819a8e9a-6faf-4600-a76d-9c0a244a31e5	Smurfit Kappa Cartón de Colombia	https://www.gbif.org/publisher/819a8e9a-6faf-4600-a76d-9c0a244a31e5	1099	1099	100.00000000000000	0	0.00000000000000	1099	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
